@relation old

@attribute feature0 numeric
@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute feature37 numeric
@attribute feature38 numeric
@attribute feature39 numeric
@attribute feature40 numeric
@attribute feature41 numeric
@attribute feature42 numeric
@attribute feature43 numeric
@attribute feature44 numeric
@attribute feature45 numeric
@attribute feature46 numeric
@attribute feature47 numeric
@attribute feature48 numeric
@attribute feature49 numeric
@attribute feature50 numeric
@attribute feature51 numeric
@attribute feature52 numeric
@attribute feature53 numeric
@attribute feature54 numeric
@attribute feature55 numeric
@attribute feature56 numeric
@attribute feature57 numeric
@attribute feature58 numeric
@attribute feature59 numeric
@attribute feature60 numeric
@attribute feature61 numeric
@attribute feature62 numeric
@attribute feature63 numeric
@attribute feature64 numeric
@attribute feature65 numeric
@attribute feature66 numeric
@attribute feature67 numeric
@attribute feature68 numeric
@attribute feature69 numeric
@attribute feature70 numeric
@attribute feature71 numeric
@attribute class {'a', 'b'}

@data
-0.26536572,0.22903877,0.026648005,0.1211391,-0.36366642,0.112079345,-0.041126065,-0.16806397,-0.25299427,-0.42770445,0.043816153,0.9446217,0.97177964,0.6242474,0.5268305,0.5060293,0.6136266,0.5337723,0.93437904,0.7955924,1.6360635,1.0707157,1.0882077,1.523599,0.3389497,0.5619222,-0.18577386,-0.20518959,-0.17108184,-0.14720307,-0.13568908,-0.16888772,-0.21268971,-0.31129834,-0.36386204,-0.27651995,-0.14762218,-0.08556102,-0.07615128,-0.06129052,-0.055253576,-0.15669027,-0.17271194,-0.17726034,-0.09743999,-0.038577717,0.037733354,0.13438466,0.22311138,0.30613664,-0.15966827,-0.12828428,-0.9434881,0.8880584,0.51353943,0.4818727,0.17882799,-1.7344022,-0.39249873,1.047197,-0.24062802,0.13382672,-1.3853679,-0.7141187,1.3352919,-0.098114274,0.1279653,0.15540788,0.67245406,0.21064691,0.29153895,-0.25943464,a
1.7249982,2.1605623,1.3692713,1.0125409,0.7764384,0.7746846,0.20660813,-0.6400341,-0.68861455,-0.42770445,-0.21484348,-0.042459324,0.4253692,0.38562283,0.16902061,0.020432878,-0.65809166,-1.6196939,-1.3175732,-0.82845366,-1.0997261,-0.8609331,-0.8415842,-0.31232724,0.28024548,-0.058055032,0.36521858,0.41938967,0.45188007,0.48849797,0.49931386,0.4763162,0.36021927,0.15770498,0.039846264,0.046522796,0.010995917,0.00822915,0.058848966,0.10451744,0.13127758,0.13660054,0.124706596,0.11550486,0.08069177,0.16804487,0.201661,0.15815131,0.19931369,0.18652917,0.040989295,0.197895,-0.3933418,1.4642467,1.915523,1.4639683,0.09183882,-0.549681,0.58875537,0.85772437,4.1051116,0.12243142,-0.7458577,0.39868432,1.2617841,0.604403,0.148825,0.7049654,0.9038028,0.18475991,-1.4382399,0.044235293,a
-0.34191817,-0.62083155,-0.8421083,-0.20300703,-0.037922204,-0.1363976,-0.3714382,-0.40404907,0.5456428,0.11960185,0.2378108,1.0063145,0.9110672,0.86287194,0.40756056,0.08113238,-0.14940439,0.3318847,0.51213807,0.13121,0.19217454,0.60712004,-0.069667436,-0.006339538,0.3389497,0.20764942,0.2095034,0.23922257,0.2362395,0.188639,0.17582172,0.20150702,0.21991515,0.1465382,-0.025619974,-0.17960717,-0.30624026,-0.5961955,-0.78230685,-0.9525081,-1.0708113,-1.0994103,-1.086212,-1.0338694,-0.95469886,-0.8535894,-0.7819051,-0.7449863,-0.65740794,-0.57895863,-0.5081784,-0.4661126,-0.13660672,1.0321053,1.2657701,0.3873755,0.1498316,-0.7513357,-0.9376399,0.4545267,0.15807895,0.15417545,-1.0884525,0.7563711,1.3373921,1.1891245,0.15716888,-0.13292502,1.175546,0.18993731,0.29153895,0.08219402,a
-0.112260856,-0.08000505,0.18460374,0.2832122,0.043513875,-0.053572018,-0.041126065,-0.32538736,-0.83382124,-0.017224738,-0.21484348,-0.35092217,-0.5460272,-0.628532,-0.9044088,-0.829361,-0.7852635,-0.67755246,-0.6842116,0.05738961,0.876122,1.3797796,1.1653993,2.1355746,0.3389497,-0.14662322,-0.5091825,-0.44541237,-0.4106826,-0.37509596,-0.30342564,-0.25252524,-0.22438177,-0.27779806,-0.33112893,-0.37343276,-0.4437092,-0.5128265,-0.5642295,-0.6001663,-0.6355722,-0.638525,-0.6188399,-0.58930004,-0.5093697,-0.405907,-0.47746792,-0.6142691,-0.6217112,-0.62680167,-0.7405186,-0.5010603,-0.33832714,0.8880584,-0.3259064,0.554433,0.124246545,-0.9025767,1.4246383,1.7035303,0.014611168,0.1435941,-0.9742542,0.7961141,1.4749564,2.2876058,0.148825,0.9538681,0.8634086,0.19252601,0.14739072,-0.14555842,a
2.1077602,2.8559108,2.9488282,3.0384543,3.3823924,3.0109777,3.2619958,2.9784033,2.2155204,2.0351737,1.9837627,1.9933956,1.6396146,1.6384022,1.4809902,1.5379219,1.1858997,0.26458898,-0.6842116,-1.0499145,-0.9477377,-1.1699969,-0.9187759,-1.0007995,1.2782135,1.7133082,-0.6648978,-0.73367983,-0.84196395,-0.9268364,-1.1061652,-1.1844864,-1.2298955,-1.3051388,-1.4331433,-1.5902272,-1.6492068,-1.6070434,-1.4884624,-1.3255758,-1.1329883,-1.0260875,-0.9799911,-0.9904967,-1.1105641,-1.2323976,-1.2971064,-1.3866894,-1.4903316,-1.4999361,-1.0995897,-1.2815604,-0.7784442,1.1041291,0.5266217,-0.43947467,-0.041203417,-1.2680757,0.5524126,0.99717623,0.33324313,0.048362028,-1.7736416,0.27945554,1.2880368,2.3358595,0.08207396,0.53985167,1.1314797,0.17181641,-1.1499435,-0.2822099,a
-1.1074427,-0.9298753,-1.0000639,-0.9323358,-0.52653855,-0.88182855,-0.9494846,-1.426651,-0.83382124,0.051188476,1.4664438,1.0063145,1.6396146,1.4594336,1.4213549,1.2951236,1.758173,1.2740263,0.79363215,0.05738961,-0.11180197,-0.011007574,-0.30124244,-0.618315,1.1021014,0.2962177,-1.4913865,-1.5023928,-1.524826,-1.5625374,-1.5015444,-1.5070883,-1.48712,-1.4838067,-1.1603675,-0.621099,-0.4437092,-0.3565098,-0.31499794,-0.27891344,-0.2106961,-0.17763948,-0.21520028,-0.28569186,-0.30897135,-0.32555366,-0.34866753,-0.3528344,-0.37183413,-0.45935118,-0.27583817,-0.7806425,-1.6770167,-0.87651855,1.5928268,-2.4998505,-0.09407918,-2.0242808,-0.9739826,1.6853408,-1.8888394,-0.012684177,-2.6643882,0.27945554,1.8340939,-1.1128614,0.019494858,-0.95849353,0.08490125,0.1873486,0.8681319,-0.2822099,a
0.5001587,0.61534345,0.6584708,0.2832122,0.6135662,0.3605563,-0.12370413,-0.7973575,-0.68861455,0.39325488,0.36714062,-0.41261467,-0.4853149,-0.8075005,-0.60623395,-0.4651637,0.16852517,-0.13918588,-0.33234408,-0.2378914,-0.41577867,0.22079025,0.39348257,-0.006339538,-0.30679432,-0.058055032,-0.42533582,-0.39736786,-0.49454284,-0.61498314,-0.7227672,-0.8140917,-0.925903,-1.0594703,-1.0621681,-0.95490974,-0.8138181,-0.64830106,-0.5538448,-0.47581032,-0.3868642,-0.3452342,-0.4063981,-0.5350843,-0.6095687,-0.6699248,-0.7116503,-0.7449863,-0.6693069,-0.6148409,-0.44481286,-0.68744844,-0.85179716,-0.3003302,2.438814,-0.05979857,0.07989913,-0.77654254,-0.7195834,2.2886214,-0.45082498,0.10289663,-1.1798109,-0.47566092,1.645074,0.031035367,0.13213724,-0.41632915,0.08490125,0.19511472,0.43568718,-0.2822099,a
0.80636865,0.69260436,-0.052329857,0.2832122,0.20638603,0.029253665,1.1149665,1.9558017,1.4168831,2.0351737,1.4664438,2.3018584,2.3074493,1.6980582,1.7195297,1.2951236,1.1223139,0.6683638,-0.33234408,-0.3117117,0.34416288,1.0707157,0.08471596,0.6821329,1.6304374,1.2704674,-0.40137964,-0.1931785,-0.063261434,-0.0032707853,0.056009848,0.10592135,0.18483897,0.19120514,0.061668206,-0.02885393,-0.063025735,-0.08556102,-0.07615128,-0.04056445,0.048374772,0.12612583,0.10346253,-0.014613049,-0.14197287,-0.21076329,-0.26670384,-0.24588393,-0.3599352,-0.471312,0.03042834,-0.08168708,-0.55838567,0.16782297,1.8435704,0.52405894,0.13277489,-0.7261289,-0.7922689,1.9975915,-0.82617676,0.13871041,-0.654499,-0.9128336,1.5232614,-0.056956694,0.16134082,-0.40400723,0.007785001,0.1977034,0.14739072,-0.2822099,a
0.95947355,0.46082157,0.9743821,1.2556506,1.590799,2.5140238,1.7755909,1.090523,1.1264697,0.7353213,0.2378108,0.204311,-0.3638904,-0.5092197,-1.1429487,-0.829361,-0.46733397,-0.4083692,-0.6138381,-0.45935228,0.19217454,-0.16553952,-0.37843412,-0.38882416,0.39765364,0.2962177,-0.4852263,-0.6255795,-0.7221636,-0.7829041,-0.8905039,-1.0052631,-1.1363593,-1.2604717,-1.3240329,-1.2994887,-1.1839269,-1.0338823,-0.8861533,-0.7970632,-0.718475,-0.6594742,-0.66132826,-0.730261,-0.82110006,-0.86506844,-0.9107054,-0.9351206,-0.9548807,-0.96170247,-0.7616403,-0.95538133,-0.37500352,-1.0925893,1.5623015,-1.4451946,0.05260842,-0.6757152,-0.6105552,2.1522012,-0.93794817,0.103710584,-1.1341317,-0.03848826,1.115819,-0.8616583,0.14048111,-0.46561682,-0.15011993,0.18993731,-0.4292022,-0.2822099,a
-0.8777853,-0.62083155,-0.21028548,-0.20300703,0.28782213,0.443382,0.9498104,1.0118612,0.18262596,-0.15405133,0.6904651,1.0063145,1.1539164,1.1611527,0.82500523,0.74882746,0.5500408,0.1299973,0.16027051,1.0908736,1.4840752,1.6888436,1.4741662,1.2176112,0.57376546,0.73905855,-0.9883064,-1.0339583,-0.9378043,-0.9868082,-0.8905039,-0.8379881,-0.8206748,-0.8249687,-0.8330365,-0.81492454,-0.5917528,-0.3981944,-0.35653666,-0.3514543,-0.35577574,-0.40808225,-0.47013047,-0.47002533,-0.38690406,-0.2566794,-0.16132157,-0.09139994,-0.038664512,0.0071179816,-0.46593478,-0.5826052,-0.8151206,-1.4527069,0.37835595,-0.26060507,0.056019757,-0.3480263,-0.9012971,0.54395777,-0.5726058,0.09638504,-0.6773387,-0.5551468,-0.088656776,-0.18468711,0.15299694,-1.4661565,-1.3839808,0.20288081,0.72398365,-0.2822099,a
